ID,Age,Gender,Income,Married,Product
1,37,Female,62000,No,B
2,30,Male,74500,Yes,C
3,59,Female,94000,Yes,A
4,34,Female,63500,No,B
5,37,Female,84000,No,A
6,23,Female,82500,No,B
7,42,Male,62000,Yes,D
8,39,Female,79500,No,B
9,33,Male,81500,No,C
10,39,Male,52500,No,C
11,41,Male,80000,No,C
12,42,Female,67500,Yes,B
13,38,Male,82500,No,D
14,30,Male,81500,No,D
15,31,Female,37000,Yes,B
16,27,Male,79500,Yes,D
17,52,Female,71000,Yes,B
18,22,Female,67500,No,B
19,27,Female,65500,Yes,A
20,58,Male,104000,Yes,D
21,37,Female,50000,Yes,B
22,47,Female,93500,Yes,A
23,30,Female,67500,No,B
24,51,Female,82500,No,B
25,50,Female,87000,No,B
26,42,Female,80500,No,B
27,45,Female,78500,Yes,B
28,49,Female,85500,No,B
29,26,Female,89500,No,A
30,46,Male,88000,Yes,D
31,46,Male,81500,No,D
32,25,Male,74500,No,C
33,34,Male,70000,Yes,C
34,31,Female,76000,No,B
35,28,Female,75000,No,B
36,27,Female,69000,No,B
37,46,Male,85500,No,C
38,45,Female,87000,No,B
39,24,Male,82000,No,C
40,53,Male,98500,No,C
41,37,Female,69500,No,A
42,25,Female,80000,No,B
43,36,Female,82000,No,B
44,40,Male,76500,Yes,D
45,29,Male,62000,Yes,D
46,31,Male,68500,No,C
47,24,Female,67000,Yes,B
48,55,Female,65500,Yes,B
49,36,Female,51500,No,B
50,31,Male,59000,No,D
51,37,Male,62500,No,C
52,47,Male,69000,Yes,D
53,32,Male,52500,No,C
54,36,Female,57000,No,A
55,55,Male,98500,No,D
56,37,Female,65500,No,A
57,40,Male,66500,Yes,D
58,45,Female,64000,No,B
59,35,Female,66500,Yes,B
60,46,Male,79500,Yes,D
61,47,Female,99000,Yes,A
62,30,Male,102000,Yes,D
63,41,Female,95500,Yes,A
64,43,Female,80500,Yes,B
65,37,Male,93000,Yes,D
66,41,Female,92500,Yes,A
67,54,Female,74500,No,B
68,51,Male,77000,Yes,C
69,55,Female,67500,No,A
70,53,Male,73500,Yes,C
71,39,Female,70000,Yes,B
72,34,Male,71500,Yes,D
73,55,Male,72000,No,D
74,26,Female,70500,Yes,B
75,38,Female,79500,Yes,B
76,46,Male,89500,No,C
77,36,Male,65000,No,D
78,24,Female,53500,No,A
79,42,Male,100000,No,C
80,45,Female,108500,No,A
81,52,Male,93000,No,C
82,32,Male,78500,Yes,D
83,30,Female,60500,No,B
84,47,Male,89000,Yes,C
85,55,Female,79500,No,A
86,23,Male,56500,No,C
87,42,Male,91000,No,C
88,51,Male,79500,Yes,C
89,25,Male,74500,No,C
90,41,Female,73000,Yes,B
91,33,Female,65000,No,B
92,58,Male,82000,No,C
93,32,Female,64500,No,B
